timestamp,x,y,z,qx,qy,qz,qw,gripper_closed
1752346597.227099000,0.4195,0.3433,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.227774917,0.4252,0.3849,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.301491917,0.4149,0.3385,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.403165626,0.4001,0.3081,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.504769209,0.3936,0.2912,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.602503209,0.3879,0.2726,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.702675626,0.3865,0.2499,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.802361001,0.3884,0.2398,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346597.904322584,0.3949,0.2295,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.7064543,0.3982,0.2316,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.103095293,0.4009,0.2337,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.205576459,0.3996,0.2381,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.307498376,0.4001,0.2449,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.401516584,0.3940,0.2483,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346598.503955543,0.3906,0.2485,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.603775168,0.3928,0.2456,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.705383460,0.3919,0.2475,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.803263501,0.3920,0.2469,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346598.904544043,0.3924,0.2461,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.3504668,0.3924,0.2482,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.104891126,0.3916,0.2484,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.203964626,0.3920,0.2485,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.304821418,0.3926,0.2472,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.403586752,0.3919,0.2468,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.503670377,0.3899,0.2484,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.603648127,0.3896,0.2479,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346599.708862835,0.3898,0.2484,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.803688127,0.3894,0.2472,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346599.904367085,0.3885,0.2486,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.6150918,0.3894,0.2470,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.104292294,0.3907,0.2448,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.203701169,0.3935,0.2373,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346600.303566919,0.3955,0.2414,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.403341544,0.3959,0.2431,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.505606835,0.3968,0.2425,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.603678752,0.3966,0.2439,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.704557960,0.3974,0.2466,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.803660961,0.3985,0.2460,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346600.903972752,0.3981,0.2458,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.3927002,0.3958,0.2436,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.204997461,0.3872,0.2523,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346601.305737752,0.3862,0.2550,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.403486169,0.3871,0.2561,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.504323169,0.3867,0.2556,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.605718586,0.3871,0.2560,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.704697669,0.3865,0.2553,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.803845378,0.3872,0.2523,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346601.906298419,0.3884,0.2492,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.5851836,0.3914,0.2504,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.104441211,0.3965,0.2560,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.203683420,0.3968,0.2581,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.303487253,0.3977,0.2602,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.403771295,0.3964,0.2621,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.604942753,0.3927,0.2644,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346602.703776670,0.3935,0.2643,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.803690628,0.3945,0.2682,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346602.904270587,0.3948,0.2700,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.3434420,0.3951,0.2672,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.105666753,0.3928,0.2677,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.205114212,0.3918,0.2649,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.303859670,0.3931,0.2628,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346603.403912128,0.3971,0.2646,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.503538962,0.3987,0.2736,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.605129004,0.3990,0.2772,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.708462879,0.3981,0.2789,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.806658295,0.3976,0.2796,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346603.905194379,0.3977,0.2783,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.8319962,0.3974,0.2792,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.108550879,0.3982,0.2783,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.202344337,0.3988,0.2714,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.306059421,0.3957,0.2715,0.2000,0.0000,0.0000,0.0000,1.0000,0
1752346604.403124796,0.3935,0.2753,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346604.504118962,0.3936,0.2788,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346604.606144629,0.3929,0.2849,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346604.706553754,0.3942,0.2902,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346604.805029671,0.3928,0.2914,0.2000,0.0000,0.0000,0.0000,1.0000,1
1752346604.906754171,0.3907,0.3118,0.2000,0.0000,0.0000,0.0000,1.0000,1
